Month,CAD
Jan-18, $406 
Feb-18, $671 
Mar-18," $1,145 "
Apr-18," $1,667 "
May-18," $1,956 "
Jun-18," $1,953 "
Jul-18," $2,096 "
Aug-18," $2,963 "
Sep-18," $3,025 "
Oct-18," $4,821 "
Nov-18," $4,074 "
Dec-18," $4,269 "
Jan-19," $4,879 "
Feb-19," $5,384 "
Mar-19," $6,178 "
Apr-19," $7,292 "
May-19," $7,581 "
Jun-19," $8,387 "
Jul-19," $10,335 "
Aug-19," $11,266 "
Sep-19," $11,674 "
Oct-19," $12,242 "
Nov-19," $13,690 "
Dec-19," $14,711 "
Jan-20," $16,186 "
Feb-20," $16,014 "
Mar-20," $15,394 "
Apr-20," $11,087 "
May-20," $11,531 "
Jun-20," $14,528 "
Jul-20," $15,322 "
Aug-20," $17,327 "
Sep-20," $16,318 "
Oct-20," $17,360 "
Nov-20," $17,560 "
Dec-20," $20,358 "
Jan-21," $26,134 "
Feb-21," $26,794 "
Mar-21," $24,346 "
Apr-21," $25,857 "
May-21," $28,948 "
Jun-21," $27,499 "
Jul-21," $29,617 "
Aug-21," $30,638 "
Sep-21," $33,824 "
Oct-21," $43,744 "
Nov-21," $52,333 "
Dec-21," $47,393 "
Jan-22," $51,020 "
Feb-22," $39,312 "
Mar-22," $43,536 "
Apr-22," $46,958 "
May-22," $16,043 "
Jun-22," $16,708 "
Jul-22," $20,640 "
Aug-22," $26,475 "
Sep-22," $24,414 "
Oct-22," $25,865 "
Nov-22," $25,254 "
Dec-22," $23,021 "
Jan-23," $22,644 "
Feb-23," $27,512 "
Mar-23," $28,133 "
